
131 ... ... 168 ... ... 165 ... ... 162 ... ... 099
... ... ... 135 ... ... 156 ... ... 159 ... ... ...
... ... 127 ... 137 ... ... ... 151 ... 149 ... ...
122 123 ... ... ... 139 ... 143 ... ... ... 103 096
... ... 117 ... ... ... ... ... ... ... 147 ... ...
... ... ... 083 ... ... ... ... ... 107 ... ... ...
079 080 ... ... ... ... 087 ... ... ... ... 092 093
... ... ... 075 ... ... ... ... ... 019 ... ... ...
... ... 063 ... ... ... ... ... ... ... 017 ... ...
054 057 ... ... ... 035 ... 031 ... ... ... 011 006
... ... 061 ... 037 ... ... ... 029 ... 015 ... ...
... ... ... 041 ... ... 044 ... ... 023 ... ... ...
051 ... ... 048 ... ... 045 ... ... 024 ... ... 003

1.2:	  130 132
1.3:	  129 133 169
1.5:	  167 169
1.6:	  166
1.8:	  154 164
1.9:	  153 161 163
1.11:	  161
1.12:	  100
2.1:	  130 132
2.2:	  125 129 133
2.3:	  126 128 134
2.5:	  136
2.6:	  155
2.8:	  153 155 157
2.9:	  152 154 158 160
2.11:	  160
2.12:	  101
2.13:	  98 100
3.1:	  125 129
3.2:	  124 126 128
3.4:	  126 136
3.6:	  138 140 154
3.7:	  141 153 155
3.8:	  142 152 154
3.10:	  150
3.12:	  102
3.13:	  97 101
4.3:	  116 124 126
4.4:	  115 125
4.5:	  70 114 138
4.7:	  112 140 142 154
4.9:	  110 144
4.10:	  105 109 145
4.11:	  104 146 148
5.1:	  69 119 121
5.2:	  68 70 118 120
5.4:	  70 114 116
5.5:	  69 71 113 115
5.6:	  70 112 114 140
5.7:	  111 113 141
5.8:	  110 112 142 144
5.9:	  109 111 145
5.10:	  106 108 110 146
5.12:	  104
5.13:	  95
6.1:	  68 70 120
6.2:	  67 69 71 81 119
6.3:	  66 68 70 72 82 116 118
6.5:	  68 70 72 84 112 114
6.6:	  69 71 85 111 113
6.7:	  70 86 110 112
6.8:	  109 111
6.9:	  108 110
6.11:	  106
6.12:	  105
6.13:	  94
7.3:	  65 67 69 71 73 81 115
7.4:	  66 68 70 72 74 82 84 114
7.5:	  67 69 71 73 85 113
7.6:	  68 70 72 86 112
7.8:	  70 88 110
7.9:	  89 109
7.10:	  90 108
7.11:	  91
8.1:	  66 68 70 72 78
8.2:	  65 67 69 71 73 77
8.3:	  64 66 68 70 72 74 76
8.5:	  66 68 70 72 74
8.6:	  67 69 71 73
8.7:	  68 70 72
8.8:	  69 71
8.9:	  70
8.11:	  18
8.12:	  9
8.13:	  8
9.1:	  55 65 67 69 71
9.2:	  56 64 66 68 70 72
9.4:	  64 66 68 70 72 74
9.5:	  65 67 69 71 73
9.6:	  34 66 68 70 72
